series,period,value,unit,available_at,source_url,provider
mkt_rf,2000,-17.48,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2000,-4.31,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2000,45.28,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2000,5.89,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2001,-15.03,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2001,17.80,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2001,19.04,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2001,3.83,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2002,-22.77,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2002,3.98,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2002,8.74,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2002,1.65,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2003,30.67,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2003,26.32,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2003,4.76,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2003,1.02,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
mkt_rf,2004,10.75,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
smb,2004,4.33,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
hml,2004,7.64,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
rf,2004,1.20,percent,2026-07-17T12:00:00Z,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Kenneth_French_Data_Library
